receiverId,deviceId
001bc50940820061,0cb2b7558a1d
001bc50940820062,0cb2b7558a7d
001bc50940820064,0cb2b75586bc
001bc50940820065,0cb2b7557f40
001bc50940820066,0cb2b7558a58
001bc50940820067,0cb2b75586f4
001bc5094082006a,0cb2b7558a45
001bc5094082006b,0cb2b7557f39
001bc5094082006c,0cb2b7558322
001bc5094082006d,0cb2b7558a3e
001bc5094082006e,0cb2b75586c3
001bc5094082006f,0cb2b75586e6
001bc50940820070,0cb2b7558688
001bc50940820071,0cb2b7558314
001bc50940820072,0cb2b7558da1
001bc50940820073,0cb2b755836a
001bc50940820075,0cb2b7557f7e
001bc50940820076,0cb2b7558a7c
001bc50940820077,0cb2b75586b9
001bc5094082007a,c8df842f5c45
001bc5094082007b,c8df842f5c2a
001bc5094082007c,c8df842f605f
001bc5094082007e,c8df842f5c39
001bc5094082007f,c8df842f6008
001bc50940820080,c8df842f5e9c
001bc50940820081,c8df842f606f
001bc50940820083,c8df842f6018
001bc50940820084,c8df842f5eb0
001bc50940820085,0cb2b75595a8
001bc50940820086,0cb2b75591c3
001bc50940820087,c8df842f5c55
001bc50940820088,0cb2b7558de0
001bc50940820089,c8df842f5e8d
001bc5094082008a,c8df842f5efd
001bc5094082008b,c8df842f5a4b
001bc5094082008c,c8df842f6053
001bc5094082008e,c8df842f5e87
001bc5094082008f,c8df842f6043
001bc50940820090,c8df842f5ee1
001bc50940820091,c8df842f5c7f
001bc50940820092,c8df842f5ed1
001bc50940820093,c8df842f5c27
001bc50940820094,c8df842f5a47
001bc50940820095,c8df842f6036
001bc50940820096,c8df842f5a30
001bc50940820097,c8df842f5c75
001bc50940820098,c8df842f5c0d
001bc5094082009a,c8df842f5c1e
001bc5094082009c,0cb2b7559aed
001bc5094082009d,c8df842f5a6f
001bc5094082009e,0cb2b7558d82
001bc5094082009f,0cb2b75586c2
001bc509408200a0,0cb2b7558a1a
001bc509408200a1,c8df842f6028
001bc509408200a2,c8df842f5a1d
001bc509408200a7,c8df842f5a7b
001bc509408200a9,0cb2b7558a33
001bc509408200aa,0cb2b7558371
001bc509408200ab,0cb2b7558316
001bc509408200ac,0cb2b75586d2
001bc509408200ae,0cb2b7558368
001bc509408200af,0cb2b7557f3b
001bc509408200b0,0cb2b7558d89
001bc509408200b1,0cb2b7558a25
001bc509408200b2,0cb2b75586c6
001bc509408200b3,0cb2b7558a7e
001bc509408200b5,c8df842f5a7f
001bc509408200b6,0cb2b75574a5
001bc509408200b7,0cb2b7557f7d
001bc509408200ba,0cb2b7557f4a
001bc509408200be,0cb2b7558324
001bc509408200c2,0cb2b755832e
001bc509408200c5,0cb2b7558a09
001bc509408200c6,0cb2b7558a66
001bc509408200c7,0cb2b7557f67
001bc509408200cb,0cb2b7557f75
001bc509408200cc,0cb2b75586a9
001bc509408200cd,0cb2b7558a7b
001bc509408200d0,0cb2b75586b3
001bc509408200d1,0cb2b7558d84
001bc509408200d2,0cb2b7558a21
001bc509408200d4,0cb2b7557f6b
001bc509408200d5,0cb2b75586bf
001bc509408200d7,0cb2b7558301
001bc509408200d8,0cb2b755830e
001bc509408200d9,0cb2b7557f59
001bc509408200da,0cb2b7558330
001bc509408200db,0cb2b755837d
001bc509408200dc,0cb2b75586ec
001bc509408200dd,0cb2b75586db
001bc509408200de,0cb2b7558379
001bc509408200df,0cb2b7558a51
001bc509408200e0,0cb2b7558320
001bc509408200e1,0cb2b7557f31
001bc509408200e2,0cb2b7558a3f
001bc509408200e3,0cb2b755831c
001bc509408200e4,0cb2b7558312
001bc509408200e5,0cb2b7558d92
001bc509408200e6,0cb2b7558a31
001bc509408200e7,0cb2b7558364
001bc509408200e8,0cb2b75586cb
001bc509408200e9,0cb2b75586af
001bc509408200ea,0cb2b755834f
001bc509408200ec,0cb2b75586c0
001bc509408200ed,0cb2b7558342
001bc509408200ee,0cb2b7557f71
001bc509408200ef,0cb2b7558a0d
001bc509408200f0,0cb2b7558a73
001bc509408200f1,0cb2b7558a06
001bc509408200f2,0cb2b75586a6
001bc509408200f3,0cb2b7558a6f
001bc509408200f4,0cb2b7557f65
001bc509408200f5,0cb2b7558a61
001bc509408200f6,0cb2b75586fd
001bc509408200f7,0cb2b755833d
001bc509408200f8,0cb2b7558697
001bc509408200f9,0cb2b755958a
001bc509408200fb,0cb2b755833b
001bc509408200fc,0cb2b7559ad6
001bc509408200fd,0cb2b7557f57
001bc509408200c0,0cb2b7557f3f
001bc509408200ff,0cb2b75586f1
001bc50940820100,0cb2b7559a83
001bc50940820101,0cb2b7558693
001bc50940820102,0cb2b7558346
001bc50940820103,0cb2b7558325
001bc50940820104,0cb2b7559aa2
001bc50940820105,0cb2b75595c8
001bc50940820107,0cb2b75591db
001bc50940820108,0cb2b75591d2
001bc50940820109,0cb2b7558dec
001bc5094082010a,0cb2b7559a92
001bc5094082010b,0cb2b7559af5
001bc5094082010d,0cb2b75595bb
001bc5094082010e,0cb2b7559afd
001bc5094082010f,0cb2b7557f62
001bc50940820110,0cb2b7559ae5
001bc50940820113,0cb2b7558da2
001bc50940820115,0cb2b75595d4
001bc50940820116,0cb2b7559d81
001bc50940820117,0cb2b75591fa
001bc50940820118,0cb2b755918c
001bc5094082011a,0cb2b7558dad
001bc5094082011c,0cb2b7559acb
001bc50940820164,30451155f1d0
001bc5094082016b,30451155edde
001bc5094082016c,30451155f1bc
001bc5094082016e,30451155ea73
001bc50940820170,30451155f713
001bc50940820171,30451155f709
001bc50940820172,30451155f1ac
001bc50940820174,30451155ea64
001bc50940820176,30451155f75a
001bc50940820177,30451155edbb
001bc50940820178,30451155f1fc
001bc5094082017a,30451155edb6
001bc5094082017b,30451155f1e9
001bc5094082018f,304511561c62
001bc50940820190,3045115551f7
001bc50940820191,304511562b3e
001bc50940820192,304511562F9E
001bc50940820193,3.04512E+11
001bc50940820194,30451155edb5
001bc50940820195,30451155edd1
001bc50940820197,30451155eda2
001bc50940820198,30451155ea2a
001bc50940820199,30451155ed8c
001bc5094082019a,30451155edbe
001bc5094082019b,30451155ea39
001bc5094082019c,3.04512E+11
001bc5094082019d,304511562f9c
001bc5094082019e,304511562b34
001bc509408201a0,3.04512E+11
001bc509408201a1,3.04512E+11
001bc509408201a2,3.04512E+11
001bc509408201a3,30451156261f
001bc509408201a4,30451156267d
001bc509408201a5,304511562fbd
001bc509408201a6,30451156222e
001bc509408201a7,304511562b56
001bc509408201a8,30451156260d
001bc509408201a9,304511562b46
001bc509408201ab,3.04512E+11
001bc509408201ac,304511562fb1
001bc509408201ad,3.04512E+11
001bc509408201ae,30451156266d
001bc509408201af,3.04512E+11
001bc509408201b0,3.04512E+11
001bc509408201b1,304511561c59
001bc509408201b2,304511562b72
001bc509408201b3,30451155edb8
001bc509408201b5,30451155f1a2
001bc509408201b6,30451155edbf
001bc509408201b7,30451155ea71
001bc509408201b8,30451155ea15
001bc509408201b9,30451155f76b
001bc509408201ba,30451155f70c
001bc509408201bc,30451155edac
001bc509408201bd,30451155ea59
001bc509408201be,30451155f765
001bc509408201bf,30451155f194
001bc509408201c0,30451155f1f7
001bc509408201c1,304511562fff
001bc509408201c2,30451156410c
001bc509408201c3,304511563dc3
001bc509408201c4,3.04512E+11
001bc509408201c8,3.04512E+11
001bc509408201cf,508cb1528fa1
001bc509408201d5,30451155f71f
001bc509408201eb,30451155f751
001bc50940820207,30451155f19b
001bc5094082020a,3.04512E+11
001bc5094082020f,3.04512E+11
