ParticipantID,NumberOfRecordings,HoursRecorded
a255dc52-384b-4d4c-a612-33a02fa6c409,9445,52.47222222
a2664330-dcfa-4d43-a788-8904343b6a00,3746,20.81111111
a2676b6d-a28f-46bf-b3f0-6a2e735ae251,11416,63.42222222
a4b481fd-66b2-4b01-a3a7-906af1f81663,7058,39.21111111
a575b34b-0787-4762-a06a-5604de6d005b,4218,23.43333333
a60ebd9e-fa87-4722-8960-b26290ddae1a,3704,20.57777778
a70d820b-e850-44c4-ab12-1b40e0f7ae39,3220,17.88888889
a7633bbc-3145-4bba-b86b-cef5e4ae3273,14377,79.87222222
a7db3311-aa07-4580-b552-73c18657c803,5120,28.44444444
a81eedd1-fb39-4763-bf76-a0472f78ce9f,11166,62.03333333
a8800ef0-619c-4a3c-af5b-df1d2a3a6f71,6951,38.61666667
a9dfbe4d-4076-48c7-a72b-342fe4c12514,6359,35.32777778
aa8d1b7a-14c6-4490-a57b-d3893ac28b03,12401,68.89444444
aae509f5-ab41-43a0-85c2-5dfad0ed520a,6798,37.76666667
ab23fe51-7249-4c81-bec3-451b6ab1d140,6374,35.41111111
adc70680-fedc-481e-be34-32c6630ab3cd,6716,37.31111111
aea11c01-40d9-479e-aa27-0b8bf464de52,480,2.666666667
aef21a29-6b16-4d49-9a07-96c12fcd5698,12658,70.32222222
b24987c0-4530-45b4-8dc1-c42c4e0cd7ad,10937,60.76111111
b318de0d-0b0a-4ba8-a7be-9fcf7b9d8c67,3464,19.24444444
ba240e43-900d-4477-8718-b9487ed24d7d,10441,58.00555556
bdb64352-b982-4aab-8d98-3c56c5a6441f,7983,44.35
be2b627b-a267-4bd6-a36b-c9dcc2065f0c,9767,54.26111111
c131a94c-b958-454b-bbd0-2f0de3b7ae5a,6217,34.53888889
c29d3319-8920-46b9-9b3a-11c36630c87d,10829,60.16111111
c35d219d-59d9-4197-b981-ea0aa6506e79,8182,45.45555556
c7492565-48cd-4b52-af25-3aee61a391ad,10404,57.8
c7acafcf-f5dd-411e-b90c-988279852fb8,12071,67.06111111
c7c4392b-02ee-40f4-a22f-ab2386c6ccf5,8228,45.71111111
c9fd26bd-1c5d-4d80-a298-8304267cfb4c,10560,58.66666667
ca202c8f-5071-4358-8851-3c580ec157b1,12766,70.92222222
cc25830a-254a-487f-acec-c0afb3962679,5220,29
cdcb783e-c9fd-4eab-9d6c-2a53e4082a1f,8690,48.27777778
cffbcf00-a329-4d57-a622-6e85ca913704,12849,71.38333333
d046a3ef-1402-4530-855c-481798c41ccd,8027,44.59444444
d127b095-98d4-4149-bdfc-c9f9739e6f18,8859,49.21666667
d28b2c23-1da4-4b64-be94-df4aa6121559,11157,61.98333333
d62a5591-4c0c-4c95-9187-faa64b95f9fc,10915,60.63888889
dafdc3d9-e474-4556-8958-204f68ad5ebc,10101,56.11666667
db2bffd9-c5b5-4fed-9d55-09a087ce0e6e,1470,8.166666667
dc65ee54-ad64-4cce-8d0a-878033ff02d7,5346,29.7
dcc3e9ff-9c05-4e17-9798-fd5114be77a9,18187,101.0388889
df3a6b7a-7e27-4003-beea-2cb5cf08da83,5388,29.93333333
e027002a-cf96-4132-a4ac-2003e945258d,7144,39.68888889
e05bec91-93e2-4b23-9d4f-ae79dade8451,7061,39.22777778
e31e0dfd-b00c-43e4-a1ea-f5110bf01c1c,10791,59.95
e3e5e4aa-5950-4f1f-915c-c67598965b03,985,5.472222222
e5594e40-9999-45b6-ac2f-bbd063395cd0,1111,6.172222222
e5be76f8-6461-481b-834e-b44f8f880273,7574,42.07777778
e6081755-d7f3-4c26-ab40-0709b8ad41ef,7910,43.94444444
e8606fff-0ac6-4832-bb79-323b89ebcf2e,8207,45.59444444
e89b1ea7-a2ea-4f2f-ae5a-9a9d29af8639,4136,22.97777778
e8c7086f-007a-41c5-a7dc-af81612ab14d,2963,16.46111111
eb4e1be4-29de-4120-9727-0ce8041da479,9741,54.11666667
edf9689d-5d97-4fe9-b3e7-64c96d9a169c,4100,22.77777778
efc0dabd-1c17-4a63-89ca-21f65250e43f,4843,26.90555556
f0bf3cda-f934-459f-a731-dd7eda243ae7,4147,23.03888889
f2e8ab49-ce1b-45f4-9632-cf596f1196bb,5131,28.50555556
f30085f9-fdb0-49fb-b242-2ad8286b242c,3136,17.42222222
f3a1263e-f498-4942-829a-f40d186caa08,8744,48.57777778
f596b3ca-7b25-4632-b986-7b44448d3f2f,10007,55.59444444
f5c8d104-4839-4aca-b2f5-8c2fc4b98af9,6995,38.86111111
f610ffea-f6cb-4182-bbe7-19ff8fbe66ee,8130,45.16666667
f732e878-e538-49b8-97d3-49ca29e9a3f8,8168,45.37777778
f9264a9d-99d8-4937-8bda-eb620c0c1ed7,8526,47.36666667
f983485d-f954-4693-9c2c-981710c06dd0,9261,51.45
fabef151-53c8-4a46-9897-0180868a53f5,4177,23.20555556
fae38580-1e2d-4491-9de5-7b75703ba4ce,8759,48.66111111
fcb14a4c-1ffa-4315-872a-a38833459885,3000,16.66666667
fd79ab30-1199-4619-adbd-577d715d86ce,9719,53.99444444
fdbd8c07-720c-4ae5-a3d8-aad56b54688c,6845,38.02777778
